n,mean_daily_return,ann_vol,yield_quartile
1281,0.0006756425302839179,0.2243679090931393,Q1: <2.02%
1281,0.001122579700637591,0.1885436248931815,Q2: 2.02%-2.79%
1281,0.00020575381009453264,0.25915261958732594,Q3: 2.79%-3.89%
1282,0.0007284922931739904,0.19754458713452414,Q4: >3.89%
