period,observations,win_count,loss_count,win_rate,avg_win,avg_loss_abs,odds_ratio,expected_value,mean_spread,spread_volatility,sharpe_ratio_raw
1日持有,1069,503,566,0.470533208606174,0.00888504225007047,0.008005339389099931,1.109889514761653,-5.785392183827419e-05,-5.7853921838273606e-05,0.011780398121643658,-0.004911032822564875
5日持有,1065,488,577,0.4582159624413146,0.019051080189628686,0.016550201258689386,1.151108671843266,-0.00023712581570420332,-0.00023712581570420324,0.02418346213193556,-0.009805288192837613
10日持有,1060,468,592,0.44150943396226416,0.027616472382052924,0.0228808316519933,1.2069697816096239,-0.0005857955313011941,-0.0005857955313011931,0.03346725628711789,-0.01750354215701499
20日持有,1050,449,601,0.4276190476190476,0.041428708539684465,0.03301456911680359,1.2548614035552652,-0.0011812056236958426,-0.0011812056236958355,0.047144318659696635,-0.02505510011125986
