regime,start,end,days,yield_change_vs_qqq_return_corr,qqq_annualized_log_return,tnx_yield_start,tnx_yield_end,tnx_net_change_bp
Pre-GFC 加息周期,2006-01-01,2008-12-31,754,0.3368581979863044,-0.10671276236392785,4.369999885559082,2.24399995803833,-212.5999927520752
后危机零利率时代,2009-01-01,2015-12-31,1761,0.3902643882909786,0.20007617042289058,2.4159998893737793,2.2690000534057617,-14.699983596801758
温和加息周期,2016-01-01,2019-12-31,1005,0.28776186929144987,0.17025254974667983,2.244999885559082,1.9190000295639038,-32.59998559951782
疫情量化宽松,2020-01-01,2021-12-31,505,0.23437588071222937,0.3179186259862365,1.8819999694824219,1.5119999647140503,-37.00000047683716
激进加息周期,2022-01-01,2023-12-31,501,-0.13970679076300177,0.02169853399262115,1.628000020980835,3.865999937057495,223.79999160766602
降息转向期,2024-01-01,2026-12-31,600,0.05783924883518454,0.240696508932721,3.946000099182129,4.558000087738037,61.19999885559082
