date,HSTECH(3033.HK),HSI,HSTECH(3033.HK)_return,HSI_return,spread_return
2022-01-03,5.574999809265137,23274.75,,,
2022-01-04,5.514999866485596,23289.83984375,-0.010762321943011854,0.000648335374171527,-0.011410657317183381
2022-01-05,5.255000114440918,22907.25,-0.047144108493036296,-0.016427328239127847,-0.03071678025390845
2022-01-06,5.335000038146973,23072.859375,0.015223581724805646,0.007229561601676426,0.00799402012312922
2022-01-07,5.429999828338623,23493.380859375,0.01780689587860751,0.018225807106970304,-0.00041891122836279493
2022-01-10,5.554999828338623,23746.5390625,0.02302025855463885,0.010775724645181395,0.012244533909457456
2022-01-11,5.545000076293945,23739.060546875,-0.001800135437208139,-0.00031493076129185393,-0.0014852046759162851
2022-01-12,5.820000171661377,24402.169921875,0.049594245551612515,0.02793326103577809,0.021660984515834425
2022-01-13,5.715000152587891,24429.76953125,-0.018041239858505587,0.0011310309477952085,-0.019172270806300795
2022-01-14,5.690000057220459,24383.3203125,-0.0043744697637690955,-0.001901336755984695,-0.0024731330077844005
2022-01-17,5.65500020980835,24218.029296875,-0.006151115476298763,-0.006778855935393846,0.000627740459095083
2022-01-18,5.619999885559082,24112.779296875,-0.006189270194643104,-0.004345935778250154,-0.00184333441639295
2022-01-19,5.565000057220459,24127.849609375,-0.009786446522881298,0.0006249927606625238,-0.010411439283543822
2022-01-20,5.820000171661377,24952.349609375,0.045822122519129316,0.03417212944164061,0.011649993077488707
2022-01-21,5.784999847412109,24965.55078125,-0.006013801240022376,0.0005290552625969447,-0.006542856502619321
2022-01-24,5.630000114440918,24656.4609375,-0.026793385835702233,-0.012380653904184524,-0.014412731931517708
2022-01-25,5.474999904632568,24243.609375,-0.027531120187861968,-0.016744153329486755,-0.010786966858375213
2022-01-26,5.53000020980835,24289.900390625,0.010045718015308847,0.001909411049690224,0.008136306965618623
2022-01-27,5.315000057220459,23807.0,-0.038878868793992605,-0.01988070691353605,-0.018998161880456554
2022-01-28,5.230000019073486,23550.080078125,-0.015992481134877834,-0.010791780647498639,-0.005200700487379195
2022-01-31,5.355000019073486,23802.259765625,0.02390057352660291,0.010708230573459598,0.01319234295314331
2022-02-04,5.510000228881836,24573.2890625,0.028944950374653278,0.032393113278618824,-0.003448162903965546
2022-02-07,5.449999809265137,24579.55078125,-0.010889367899150737,0.00025481809675831357,-0.01114418599590905
2022-02-08,5.360000133514404,24329.490234375,-0.016513702550545184,-0.010173519813297505,-0.006340182737247679
2022-02-09,5.565000057220459,24829.990234375,0.03824625347008004,0.02057174216058355,0.017674511309496488
2022-02-10,5.585000038146973,24924.349609375,0.0035938869219891423,0.0038002179666332125,-0.00020633104464407026
2022-02-11,5.525000095367432,24906.66015625,-0.010743051453845354,-0.0007097257662581624,-0.010033325687587191
2022-02-14,5.429999828338623,24556.5703125,-0.017194618169955156,-0.014056073417862525,-0.0031385447520926313
2022-02-15,5.429999828338623,24355.7109375,0.0,-0.008179455536498792,0.008179455536498792
2022-02-16,5.565000057220459,24718.900390625,0.02486192139036225,0.014911880587554771,0.00995004080280748
2022-02-17,5.579999923706055,24792.76953125,0.0026953937702360875,0.0029883667743171305,-0.000292973004081043
2022-02-18,5.40500020980835,24327.7109375,-0.03136195632445027,-0.018757831518734447,-0.012604124805715822
2022-02-21,5.264999866485596,24170.0703125,-0.025902005159721964,-0.0064798790730863365,-0.019422126086635627
2022-02-22,5.139999866485596,23520.0,-0.02374169101041934,-0.02689567320637065,0.0031539821959513104
2022-02-23,5.224999904632568,23660.279296875,0.016536972831691976,0.005964255819515207,0.010572717012176769
2022-02-24,4.992000102996826,22901.560546875,-0.044593264284877976,-0.03206719331078267,-0.012526070974095305
2022-02-25,5.059999942779541,22767.1796875,0.013621762495936718,-0.0058677599327761065,0.019489522428712824
2022-02-28,5.039999961853027,22713.01953125,-0.003952565445193956,-0.002378869802645567,-0.0015736956425483895
2022-03-01,5.110000133514404,22761.7109375,0.013888923053809066,0.0021437663179484368,0.011745156735860629
2022-03-02,4.943999767303467,22343.919921875,-0.03248539371304682,-0.01835499171271382,-0.014130402000332998
2022-03-03,4.883999824523926,22467.33984375,-0.012135911327573967,0.005523646804434179,-0.017659558132008146
2022-03-04,4.6539998054504395,21905.2890625,-0.047092552689824485,-0.02501634751416071,-0.022076205175663777
2022-03-07,4.438000202178955,21057.630859375,-0.04641160556528612,-0.038696508441704136,-0.007715097123581982
2022-03-08,4.308000087738037,20765.869140625,-0.029292498539565393,-0.013855391458726496,-0.015437107080838897
2022-03-09,4.323999881744385,20627.7109375,0.0037139725349328856,-0.006653138483605159,0.010367111018538044
2022-03-10,4.369999885559082,20890.259765625,0.010638299045498512,0.012727967195220957,-0.0020896681497224456
2022-03-11,4.197999954223633,20553.7890625,-0.03935925305257626,-0.016106583015241593,-0.023252670037334666
2022-03-14,3.7100000381469727,19531.66015625,-0.11624581262457623,-0.049729463659566986,-0.06651634896500924
2022-03-15,3.4079999923706055,18415.080078125,-0.08140162875232926,-0.05716769947831091,-0.02423392927401835
2022-03-16,4.177999973297119,20087.5,0.2259389620452732,0.09081795543542825,0.13512100660984494
2022-03-17,4.480000019073486,21501.23046875,0.07228340059993821,0.07037861698817682,0.0019047836117613848
2022-03-18,4.443999767303467,21412.400390625,-0.008035770450167234,-0.004131395096392598,-0.003904375353774636
2022-03-21,4.349999904632568,21221.33984375,-0.021152085416947686,-0.008922892501050605,-0.01222919291589708
2022-03-22,4.581999778747559,21889.279296875,0.053333305563505906,0.031474895461028884,0.02185841010247702
2022-03-23,4.679999828338623,22154.080078125,0.021388052012925263,0.012097281854674957,0.009290770158250305
2022-03-24,4.5320000648498535,21945.94921875,-0.03162388224730095,-0.009394696536305647,-0.022229185710995303
2022-03-25,4.328000068664551,21404.880859375,-0.04501323770216259,-0.024654589053397014,-0.020358648648765576
2022-03-28,4.432000160217285,21684.970703125,0.024029595633722867,0.01308532598663481,0.010944269647088056
2022-03-29,4.541999816894531,21927.630859375,0.024819416223092583,0.011190245980596591,0.013629170242495992
2022-03-30,4.5980000495910645,22232.029296875,0.012329422050664451,0.013881957401241873,-0.001552535350577422
2022-03-31,4.480000019073486,21996.849609375,-0.025663338243781197,-0.010578417487649538,-0.015084920756131659
2022-04-01,4.5,22039.55078125,0.004464281437804418,0.0019412403427443436,0.0025230410950600746
2022-04-04,4.730000019073486,22502.310546875,0.05111111534966373,0.02099678755787937,0.030114327791784357
2022-04-06,4.51800012588501,22080.51953125,-0.044820273220633755,-0.01874434248635748,-0.026075930734276276
2022-04-07,4.421999931335449,21808.98046875,-0.021248382442387692,-0.012297675429044919,-0.008950707013342774
2022-04-08,4.360000133514404,21872.009765625,-0.014020759562137997,0.002890061594823967,-0.016910821156961964
2022-04-11,4.119999885559082,21208.30078125,-0.05504592674447206,-0.030345130213781935,-0.024700796530690128
2022-04-12,4.199999809265137,21319.130859375,0.019417457749564715,0.005225787736044429,0.014191670013520286
2022-04-13,4.21999979019165,21374.369140625,0.004761900436850874,0.0025910193813416527,0.0021708810555092217
2022-04-14,4.25600004196167,21518.080078125,0.008530865772480078,0.006723517150588387,0.0018073486218916912
2022-04-19,4.0960001945495605,21027.759765625,-0.03759394873933375,-0.022786434046151438,-0.014807514693182311
2022-04-20,4.0920000076293945,20944.669921875,-0.000976608088419706,-0.003951435848426943,0.002974827760007237
2022-04-21,3.930000066757202,20682.220703125,-0.039589428291825324,-0.012530597031557567,-0.027058831260267757
2022-04-22,3.941999912261963,20638.51953125,0.0030533957508713794,-0.002112982570986577,0.005166378321857956
2022-04-25,3.753999948501587,19869.33984375,-0.047691519011855976,-0.037269130973049625,-0.010422388038806352
2022-04-26,3.8359999656677246,19934.7109375,0.021843371947532386,0.0032900486007119145,0.01855332334682047
2022-04-27,3.930000066757202,19946.359375,0.024504718960057348,0.0005843293909062464,0.0239203895691511
2022-04-28,4.0,20276.169921875,0.017811687545480792,0.016534874393588472,0.0012768131518923198
2022-04-29,4.406000137329102,21089.390625,0.10150003433227539,0.04010721483684421,0.06139281949543118
2022-05-03,4.3420000076293945,21101.890625,-0.014525675829530016,0.000592715087043949,-0.015118390916573965
2022-05-04,4.203999996185303,20869.51953125,-0.031782591248643466,-0.011011861348324103,-0.020770729900319362
2022-05-05,4.248000144958496,20793.400390625,0.010466258043082544,-0.0036473834728690813,0.014113641515951625
2022-05-06,3.9800000190734863,20001.9609375,-0.06308853972217277,-0.038062050374494394,-0.02502648934767837
2022-05-10,3.8440001010894775,19633.689453125,-0.03417083350056582,-0.018411769002336098,-0.015759064498229725
