date,year,tnx_yield,qqq_price,tnx_change_bp,tnx_change_pct,qqq_return
2006-01-03,2006,4.369999885559082,35.3125114440918,,,
2006-01-04,2006,4.355999946594238,35.68009948730469,-1.399993896484375,-0.01399993896484375,0.010409569531605545
2006-01-05,2006,4.355999946594238,35.8339729309082,0.0,0.0,0.004312584488680216
2006-01-06,2006,4.379000186920166,36.48362731933594,2.3000240325927734,0.023000240325927734,0.01812956631072815
2006-01-09,2006,4.379000186920166,36.62894058227539,0.0,0.0,0.003982971914156197
2006-01-10,2006,4.427999973297119,36.65459442138672,4.8999786376953125,0.048999786376953125,0.0007003707643060686
2006-01-11,2006,4.458000183105469,36.93667984008789,3.000020980834961,0.03000020980834961,0.007695772471474571
2006-01-12,2006,4.409999847412109,36.75715637207031,-4.8000335693359375,-0.048000335693359375,-0.004860303329774052
2006-01-13,2006,4.349999904632568,36.74006271362305,-5.999994277954102,-0.059999942779541016,-0.00046504300480254557
2006-01-17,2006,4.331999778747559,36.50072479248047,-1.8000125885009766,-0.018000125885009766,-0.006514357991387776
2006-01-18,2006,4.340000152587891,36.08186340332031,0.8000373840332031,0.008000373840332031,-0.01147542662622536
2006-01-19,2006,4.379000186920166,36.34684753417969,3.900003433227539,0.03900003433227539,0.00734397023505684
2006-01-20,2006,4.361000061035156,35.2612419128418,-1.8000125885009766,-0.018000125885009766,-0.0298679444019736
2006-01-23,2006,4.35699987411499,35.269771575927734,-0.40001869201660156,-0.004000186920166016,0.00024189911141014875
2006-01-24,2006,4.389999866485596,35.42365264892578,3.299999237060547,0.03299999237060547,0.004362973337288967
2006-01-25,2006,4.479000091552734,35.269771575927734,8.900022506713867,0.08900022506713867,-0.004344020491707012
2006-01-26,2006,4.5229997634887695,35.51767349243164,4.399967193603516,0.043999671936035156,0.007028736094029764
2006-01-27,2006,4.502999782562256,35.996402740478516,-1.9999980926513672,-0.019999980926513672,0.013478620668915253
2006-01-30,2006,4.534999847412109,36.06477355957031,3.2000064849853516,0.032000064849853516,0.0018993792125487907
2006-01-31,2006,4.5269999504089355,35.9023551940918,-0.7999897003173828,-0.007999897003173828,-0.004503518238101245
2006-02-01,2006,4.560999870300293,36.030574798583984,3.399991989135742,0.03399991989135742,0.003571342431409219
2006-02-02,2006,4.560999870300293,35.41508483886719,0.0,0.0,-0.017082435213911284
2006-02-03,2006,4.5329999923706055,34.979148864746094,-2.79998779296875,-0.0279998779296875,-0.012309330221981107
2006-02-06,2006,4.545000076293945,34.88512420654297,1.2000083923339844,0.012000083923339844,-0.0026880201850162377
2006-02-07,2006,4.566999912261963,34.73126220703125,2.199983596801758,0.021999835968017578,-0.0044105332290277355
2006-02-08,2006,4.59499979019165,35.13302230834961,2.79998779296875,0.0279998779296875,0.011567679254600227
2006-02-09,2006,4.540999889373779,34.799644470214844,-5.399990081787109,-0.053999900817871094,-0.009489016777686543
2006-02-10,2006,4.580999851226807,35.01333999633789,3.9999961853027344,0.039999961853027344,0.006140738774097265
2006-02-13,2006,4.583000183105469,34.61159896850586,0.20003318786621094,0.0020003318786621094,-0.011473941871128268
