year,trading_days,yield_change_vs_qqq_return_corr,qqq_cumulative_return,tnx_yield_start,tnx_yield_end,tnx_net_change_bp
2006,250,-0.05071239246188133,0.04809806412751172,4.369999885559082,4.710000038146973,34.00001525878906
2007,251,0.37063343522133874,0.19028055993457182,4.664000034332275,4.034999847412109,-62.9000186920166
2008,253,0.39264040970815556,-0.41727161621240016,3.9010000228881836,2.24399995803833,-165.70000648498535
2009,252,0.2967419161726023,0.5468411033191087,2.4159998893737793,3.8429999351501465,142.70000457763672
2010,251,0.45658560359626893,0.2014378537078898,3.8410000801086426,3.305000066757202,-53.60000133514404
2011,252,0.5502377851394376,0.03475791111748339,3.3420000076293945,1.871000051498413,-147.09999561309814
2012,250,0.5066419946969534,0.1811252599853066,1.9600000381469727,1.75600004196167,-20.399999618530273
2013,252,0.1467296904567982,0.36634190768657593,1.8389999866485596,3.0260000228881836,118.7000036239624
2014,252,0.40304671035859696,0.19181413865613406,2.984999895095825,2.1700000762939453,-81.49998188018799
2015,252,0.3087564761969225,0.0943588615371247,2.122999906539917,2.2690000534057617,14.600014686584473
2016,251,0.30283193239052913,0.07097893687582713,2.244999885559082,2.446000099182129,20.100021362304688
2017,251,0.16590946618080962,0.3266358337071409,2.450000047683716,2.4049999713897705,-4.500007629394531
2018,251,0.2179849160486373,-0.0012624827138566497,2.4649999141693115,2.686000108718872,22.100019454956055
2019,252,0.4647313383493882,0.3896157211431237,2.6610000133514404,1.9190000295639038,-74.19999837875366
2020,253,0.36355476509973156,0.484061242979827,1.8819999694824219,0.9169999957084656,-96.49999737739563
2021,252,-0.09055725456856208,0.27419731191660923,0.9169999957084656,1.5119999647140503,59.49999690055847
2022,251,-0.15943163537323143,-0.325770132040639,1.628000020980835,3.878999948501587,225.0999927520752
2023,250,-0.10015656121758422,0.5485560683330355,3.7929999828338623,3.865999937057495,7.299995422363281
2024,252,-0.00017371088887798748,0.25578263602731344,3.946000099182129,4.572999954223633,62.69998550415039
2025,250,0.2180709248762862,0.2077254840592293,4.574999809265137,4.163000106811523,-41.19997024536133
2026,98,-0.3562367291379391,0.16951497088193923,4.186999797821045,4.558000087738037,37.10002899169922
